"","Longitude","Latitude"
"1",-117.153161,43.089383
"2",-116.46106,46.230494
"3",-116.187601,45.78377
"4",-123.273544,44.586925
"5",-119.82608,37.51377
"6",-111.580951,41.606768
"7",-118.72917,42.65672
"8",-122.693805,41.266886
"9",-121.431944,41.1144439990652
"10",-121.417222,41.1180559990652
"11",-117.9641,44.665
"12",-118.3826,45.8071
"13",-123.2659,44.7145
"14",-123.2918,42.0911
"15",-122.9097,43.6633
"16",-123.3893,44.574
"17",-123.2433,44.6108
"18",-122.6325,44.4099
"19",-120.778611,40.3958329990687
"20",-123.2243,44.6724
"21",-121.47398,45.7228
"22",-123.2328,44.8486
"23",-123.2249,44.8759
"24",-105.4648,44.8202
"25",-116.57432,45.0542
"26",-116.57708,45.02242
"27",-116.61609,44.96989
"28",-116.16105,46.10355
"29",-116.54437,45.05902
"30",-116.53092,45.08147
"31",-106.71286,44.34701
"32",-107.02511,44.83926
"33",-107.07123,44.83649
"34",-107.04574,44.86334
"35",-107.05405,44.84748
"36",-107.04094,44.84334
"37",-107.0237,44.82835
"38",-107.0554,44.82358
"39",-107.03913,44.82225
"40",-107.03004,44.84924
"41",-107.0726,44.848
"42",-107.01666,44.84747
"43",-107.06015,44.85865
"44",-107.05472,44.83435
"45",-107.03929,44.83134
"46",-121.33076,40.74586
"47",-121.36057,40.77083
"48",-121.37723,40.71878
"49",-121.37133,40.75899
"50",-122.91761,41.98402
"51",-106.62807,44.64217
"52",-106.63571,44.63278
"53",-115.34279,42.28122
"54",-111.28383,47.29422
"55",-111.32008,47.29326
"56",-111.25742,47.26738
"57",-111.31518,47.263
"58",-111.25105,47.2898
"59",-115.00754,48.17794
"60",-115.33426,47.99968
"61",-111.52862,47.16897
"62",-115.35413,48.01605
"63",-115.37738,48.00892
"64",-115.37589,48.10041
"65",-115.57655,48.37375
"66",-115.53726,48.32165
"67",-115.82164,48.42629
"68",-121.94998,45.81508
"69",-121.9542,46.09824
"70",-121.92484,45.87029
"71",-121.39697,40.75114
"72",-121.16604,46.67299
