"","Longitude","Latitude"
"1",-112.453095,42.1645
"2",-112.399825,42.819786
"3",-113.979604,50.847201
"4",-109.175653,41.565595
"5",-114.090463,51.108493
"6",-103.250225,44.062138
"7",-114.057223,51.051968
"8",-113.980604,46.865752
"9",-112.79397,51.334083
"10",-105.886947,37.78873
"11",-114.305065,47.029231
"12",-113.285687,53.644525
"13",-114.143566,51.136014
"14",-110.782067,45.571368
"15",-109.325395,41.373958
"16",-114.014503,51.036953
"17",-113.990634,50.876692
"18",-114.099289,51.125203
"19",-114.038792,51.157778
"20",-114.078192,51.024819
"21",-111.527008,40.677453
"22",-114.077378,51.056124
"23",-109.668945,42.599322
"24",-110.96512,42.962463
"25",-114.025262,50.965965
"26",-112.627953,45.247592
"27",-112.256924,40.465838
"28",-113.982545,50.934628
"29",-114.241008,51.087388
"30",-114.423909,51.193482
"31",-115.082475,41.026683
"32",-110.72253,43.751755
"33",-109.35606,41.103852
"34",-109.793055,45.762751
"35",-112.832086,49.686594
"36",-112.765511,46.160703
"37",-114.200364,51.075728
"38",-113.769243,50.115057
"39",-114.217799,51.099768
"40",-110.836783,45.665888
"41",-114.015205,51.015545
"42",-112.414178,42.838534
"43",-114.091514,51.012856
"44",-114.236461,51.119259
"45",-114.103128,51.022158
"46",-114.075517,50.96183
"47",-115.330018,51.083288
"48",-114.094978,51.036583
"49",-112.221129,42.430919
"50",-105.60875,36.421863
"51",-105.143494,39.554729
"52",-109.090907,45.564349
"53",-114.178406,51.093946
"54",-114.115574,51.143785
"55",-114.321532,49.557234
"56",-113.969575,50.864613
"57",-106.233605,38.106942
"58",-114.040755,51.047889
"59",-112.167856,42.623842
"60",-115.699346,41.834354
"61",-112.946798,51.30305
"62",-112.635674,42.11693
"63",-112.870552,44.947006
"64",-103.567127,43.932607
"65",-112.4716,42.875913
"66",-112.117997,42.624312
"67",-114.06991,51.093626
"68",-110.436693,43.343999
"69",-103.473844,44.23059
"70",-114.424866,51.180971
"71",-113.868295,44.164374
"72",-106.013445,36.801324
"73",-107.58,36.94
"74",-105.30622,38.78222
"75",-105.98193,38.25456
"76",-105.816861,38.190233
"77",-103.50725,46.95191
"78",-103.52293,46.91691
"79",-103.49352,46.95175
"80",-112.73597,46.40878
"81",-103.81823,43.73418
"82",-104.7134,44.59142
"83",-113.67714,42.07711
"84",-113.69489,42.07332
"85",-112.73952,46.41999
"86",-112.60708,46.12972
"87",-111.79194,46.23976
"88",-111.79908,46.25505
"89",-112.06752,46.55028
"90",-113.28134,44.6633
"91",-113.29246,44.66778
"92",-103.41316,47.04094
"93",-112.20855,44.44545
"94",-115.47504,39.20217
"95",-110.66267,43.29116
"96",-106.34988,37.30695
"97",-105.96687,38.24919
"98",-103.77347,47.48084
"99",-103.17514,47.40085
"100",-102.91251,48.08956
"101",-103.5602,47.39962
"102",-103.74695,47.433
"103",-103.96909,47.80177
"104",-103.68823,47.41814
"105",-103.71373,47.42334
"106",-103.72606,47.42969
"107",-103.73428,47.48603
"108",-103.75954,47.48688
"109",-103.90323,47.79911
"110",-103.88645,47.80375
"111",-103.55908,47.47959
"112",-103.74837,47.38143
"113",-103.71028,47.37171
"114",-103.88224,47.3657
"115",-103.39265,47.37695
"116",-103.38596,47.36505
"117",-103.50691,47.35326
"118",-104.00613,47.54343
"119",-103.15615,47.40084
"120",-103.52133,47.37458
"121",-103.54796,47.42621
"122",-103.98459,47.80223
"123",-104.00546,47.55384
"124",-103.89654,47.51219
"125",-104.04337,47.43641
"126",-113.7506,44.93434
"127",-113.98345,45.54918
"128",-103.72746,43.77148
"129",-110.79518,43.29506
"130",-106.10064,38.19415
"131",-103.69557,47.17601
"132",-103.39062,47.25199
"133",-103.47447,47.20978
"134",-103.40448,47.25771
"135",-103.96685,43.80143
"136",-106.38181,38.23232
"137",-106.30087,38.27736
"138",-106.49581,38.19882
"139",-106.11327,37.95905
"140",-106.42421,37.8436
"141",-113.66197,43.89326
"142",-106.2778,38.19766
"143",-113.30556,44.67053
"144",-105.98395,36.79008
"145",-105.982,36.73099
"146",-105.88117,38.21955
"147",-106.11427,37.93691
"148",-106.25468,38.03882
"149",-113.91558,45.05938
"150",-113.97186,44.88642
"151",-113.61094,45.08217
"152",-113.96263,44.89671
"153",-109.58234,44.19354
"154",-106.1694,37.9832
"155",-106.14679,38.26998
"156",-106.25699,38.1089
"157",-113.90765,45.31559
"158",-106.06454,36.84629
"159",-106.00313,36.84811
"160",-113.73551,44.83959
"161",-113.90779,45.24673
"162",-113.74599,44.84592
"163",-113.25237,44.56379
"164",-113.23758,44.56272
"165",-109.319,44.68147
"166",-107.75877,37.34033
"167",-105.12081,39.16689
"168",-113.57117,45.60387
"169",-110.54329,42.56028
"170",-103.42719,47.14919
"171",-113.96833,45.01054
"172",-113.74133,44.92474
"173",-103.30582,46.8981
"174",-103.48535,47.02783
"175",-103.51072,47.22779
"176",-106.35976,38.08816
"177",-113.5253,44.93173
"178",-113.07248,42.39881
"179",-113.08321,42.1357
"180",-107.99256,44.85511
"181",-111.61616,41.76225
"182",-111.46463,41.71345
"183",-111.45609,41.72177
"184",-113.24989,45.33452
"185",-113.46154,45.58403
"186",-107.00572,38.35013
"187",-113.92557,44.51379
"188",-103.7181,43.69259
"189",-103.76551,43.71909
"190",-103.70642,43.73482
"191",-103.7366,43.8073
"192",-103.69844,43.71824
"193",-103.70268,43.78478
"194",-103.67283,43.76736
"195",-112.90195,44.19699
"196",-116.3192,45.77712
"197",-103.65863,43.76282
"198",-110.77188,43.30063
"199",-103.41182,47.01785
"200",-103.43543,47.06092
"201",-103.52653,47.31672
"202",-111.57977,46.74787
"203",-113.21627,44.37028
"204",-113.55563,44.95871
"205",-114.22711,44.1083
"206",-106.14585,37.93708
"207",-110.86433,42.61259
"208",-110.67321,43.29933
"209",-105.98071,38.1028
"210",-113.95305,45.75341
"211",-113.86347,45.29673
"212",-113.73837,45.04958
"213",-113.34434,44.34394
"214",-113.89757,45.02555
"215",-113.86229,45.16803
"216",-106.74261,38.22437
"217",-114.21179,44.31561
"218",-113.17319,44.31116
"219",-113.64942,44.78563
"220",-113.56471,45.00892
"221",-112.74583,44.19957
"222",-114.24983,44.67994
"223",-114.07527,44.67731
"224",-114.93779,44.21458
"225",-113.99341,44.80478
"226",-103.46117,47.03016
"227",-103.49503,47.22679
"228",-103.46973,47.21859
"229",-107.86754,39.89551
"230",-106.40549,37.91973
"231",-106.29047,38.17434
"232",-105.66789,38.74973
"233",-111.23502,42.32884
"234",-111.64215,42.40315
"235",-106.36695,38.0961
"236",-106.65058,38.2347
"237",-111.11523,42.60129
"238",-111.46187,42.70234
"239",-111.45797,41.92086
"240",-107.44508,40.01985
"241",-106.68936,38.20074
"242",-112.97147,42.43489
"243",-106.12356,37.96472
"244",-105.42369,41.24804
"245",-114.10573,45.38207
"246",-110.85827,43.5941
"247",-113.35956,44.34943
"248",-113.25133,44.35739
"249",-113.23943,44.46197
"250",-113.15457,44.31746
"251",-103.50331,47.12126
"252",-109.8799,45.60193
"253",-113.60679,45.01346
"254",-103.6066,43.97671
"255",-114.06046,45.95229
"256",-103.79471,43.80285
"257",-105.85517,40.22245
"258",-106.63815,38.43959
"259",-113.2235,44.43161
