field_1,fid,SciName,decimallon,decimallat,issues,countryCod,occurrence,coordinate,institutio,references,basisOfRec,year,month,day,eventDate,geodeticDa
1,7818171,Geranium lucidum,-122.253381,45.8180768,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,5,30,5/30/2017,NA
2,7818163,Geranium lucidum,-122.2544428,45.8184968,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2017,5,30,5/30/2017,NA
3,7818161,Geranium lucidum,-122.3165988,47.6242788,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2018,10,13,10/13/2018,NA
9,7818169,Geranium lucidum,-124.1941041,41.7529217,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,10,27,10/27/2014,NA
11,2185609,Geranium lucidum,-123.44629,43.80236,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2011,5,29,2011-29-05,NA
12,2185610,Geranium lucidum,-122.79313,42.19604,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2005,9,13,2005-13-09,NA
13,2185612,Geranium lucidum,-122.79539,42.19989,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2005,9,13,2005-13-09,NA
14,2185613,Geranium lucidum,-123.48448,44.43905,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2006,10,9,10/9/2006,NA
15,2185615,Geranium lucidum,-123.5323,44.43455,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,11,9,11/9/2007,NA
16,2185616,Geranium lucidum,-123.47902,44.44073,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2006,10,9,10/9/2006,NA
17,2185617,Geranium lucidum,-123.51179,44.45936,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,6,14,6/14/2009,NA
18,2185619,Geranium lucidum,-123.5087,44.46039,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,6,14,6/14/2009,NA
19,2185620,Geranium lucidum,-123.52843,44.43457,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,11,9,11/9/2007,NA
20,2185622,Geranium lucidum,-123.50402,44.45548,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2009,6,14,6/14/2009,NA
21,2185623,Geranium lucidum,-123.24886,44.07566,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,6,15,6/15/2008,NA
22,2185624,Geranium lucidum,-123.17417,44.03801,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2006,5,8,5/8/2006,NA
23,2185625,Geranium lucidum,-122.51339,43.7464,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2004,7,8,7/8/2004,NA
24,2185626,Geranium lucidum,-122.59889,43.96652,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2005,6,8,6/8/2005,NA
25,2185627,Geranium lucidum,-122.58082,43.97313,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2007,1,8,1/8/2007,NA
26,2185628,Geranium lucidum,-122.53253,43.75345,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2008,4,17,4/17/2008,NA
27,2689146,Geranium lucidum,-122.66035,45.70738,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2003,7,13,7/13/2003,WGS84
28,3044947,Geranium lucidum,-122.495,46.32667,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2013,5,28,5/28/2013,WGS84
29,3186324,Geranium lucidum,-123.29167,44.115,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,11,1/11/2001,WGS84
30,3186338,Geranium lucidum,-122.66333,44.41333,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,11,1/11/2001,WGS84
31,3191958,Geranium lucidum,-122.95333,43.78,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,12,1/12/2001,WGS84
32,3970298,Geranium lucidum,-122.69632,45.74548,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2014,9,14,9/14/2014,WGS84
33,4819456,Geranium lucidum,-122.71076,45.87205,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,15,1/15/2001,WGS84
34,4819457,Geranium lucidum,-122.70908,45.87138,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,15,1/15/2001,WGS84
35,4819458,Geranium lucidum,-122.54005,45.82133,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,15,1/15/2001,WGS84
36,4819460,Geranium lucidum,-122.5428,45.81818,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2015,4,27,4/27/2015,WGS84
37,4819463,Geranium lucidum,-122.75394,45.72097,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,15,1/15/2001,WGS84
38,4819464,Geranium lucidum,-122.66904,45.70921,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,15,1/15/2001,WGS84
39,4819465,Geranium lucidum,-122.65236,45.70731,NA,NA,PRESENT,NA,EDDMaps,NA,NA,2001,1,15,1/15/2001,WGS84
