"","eventDate","field_1","species","decimallon","decimallat","issues","countryCod","individual","occurrence","coordinate","institutio","gbifID","references","basisOfRec","year","month","day","geodeticDa"
"1",2020-05-27,5,"Butomus umbellatus",-0.735722,47.351958,"cdround","FRA",NA,"PRESENT",31,"iNaturalist",2634105435,"https://www.inaturalist.org/observations/47817557","HUMAN_OBSERVATION",2020,5,27,"WGS84"
"2",2020-05-31,7,"Butomus umbellatus",77.911508,53.718336,"cdround","RUS",NA,"PRESENT",5,"iNaturalist",2634141650,"https://www.inaturalist.org/observations/47984964","HUMAN_OBSERVATION",2020,5,31,"WGS84"
"3",2020-05-27,8,"Butomus umbellatus",16.595423,58.952781,"gass84","SWE",NA,"PRESENT",25,"ArtDatabanken",2809565299,NA,"HUMAN_OBSERVATION",2020,5,27,"WGS84"
"4",2020-05-30,9,"Butomus umbellatus",0.817757,51.55485,"cdround","GBR",NA,"PRESENT",3,"iNaturalist",2850531603,"https://www.inaturalist.org/observations/47827998","HUMAN_OBSERVATION",2020,5,30,"WGS84"
"5",2020-05-30,12,"Butomus umbellatus",14.600255,51.431439,"cdround","DEU",NA,"PRESENT",526,"iNaturalist",2850996589,"https://www.inaturalist.org/observations/47876501","HUMAN_OBSERVATION",2020,5,30,"WGS84"
"6",2020-06-07,13,"Butomus umbellatus",83.366675,53.201461,"cdround","RUS",NA,"PRESENT",15,"iNaturalist",2641293221,"https://www.inaturalist.org/observations/48918772","HUMAN_OBSERVATION",2020,6,7,"WGS84"
"7",2020-06-06,15,"Butomus umbellatus",-2.842805,53.363308,"cdround","GBR",NA,"PRESENT",5,"iNaturalist",2641369926,"https://www.inaturalist.org/observations/48748770","HUMAN_OBSERVATION",2020,6,6,"WGS84"
"8",2020-06-04,16,"Butomus umbellatus",-81.338755,41.726201,"cdround","USA",NA,"PRESENT",263,"iNaturalist",2641490634,"https://www.inaturalist.org/observations/48503802","HUMAN_OBSERVATION",2020,6,4,"WGS84"
"9",2020-06-03,17,"Butomus umbellatus",81.215451,53.926816,"cdround","RUS",NA,"PRESENT",567,"iNaturalist",2641523196,"https://www.inaturalist.org/observations/48887928","HUMAN_OBSERVATION",2020,6,3,"WGS84"
"10",2020-06-08,18,"Butomus umbellatus",16.660296,48.114151,"cdround","AUT",NA,"PRESENT",5,"iNaturalist",2641524243,"https://www.inaturalist.org/observations/48909285","HUMAN_OBSERVATION",2020,6,8,"WGS84"
