"","eventDate","field_1","species","decimallon","decimallat","issues","countryCod","individual","occurrence","coordinate","institutio","gbifID","references","basisOfRec","year","month","day","geodeticDa"
"1",2000-01-01,7866,"Butomus umbellatus",3.18349,50.8405,"refuriiv","BEL",NA,"PRESENT",700,"INBO",868893302,NA,"HUMAN_OBSERVATION",2000,1,1,"WGS84"
"2",2000-01-01,7867,"Butomus umbellatus",4.57628,51.16089,"refuriiv","BEL",NA,"PRESENT",700,"INBO",868896538,NA,"HUMAN_OBSERVATION",2000,1,1,"WGS84"
"3",2000-01-01,7868,"Butomus umbellatus",-3.126809,51.496736,"fpwktinv","GBR",NA,"PRESENT",7.1,"SEWBReC",2999684437,NA,"HUMAN_OBSERVATION",2000,1,1,"WGS84"
"4",2000-03-23,7869,"Butomus umbellatus",-2.55729,51.54412,"fpwktinv","GBR",NA,"PRESENT",70.7,"BRERC",2960270967,NA,"HUMAN_OBSERVATION",2000,3,23,"WGS84"
"5",2000-05-23,7870,"Butomus umbellatus",35.771643,32.882798,"cdround,gass84","ISR",NA,"PRESENT",1000,"INPA",48435538,NA,"OBSERVATION",2000,5,23,"WGS84"
"6",2000-05-30,7872,"Butomus umbellatus",9.69726,56.00308,NA,"DNK",NA,"PRESENT",109.27,"DMP",2885414419,NA,"HUMAN_OBSERVATION",2000,5,30,"WGS84"
"7",2000-05-05,7873,"Butomus umbellatus",-2.777796,51.367526,"fpwktinv","GBR",NA,"PRESENT",70.7,"BRERC",2959580853,NA,"HUMAN_OBSERVATION",2000,5,5,"WGS84"
"8",2000-05-14,7874,"Butomus umbellatus",16.326901,48.288981,"cdround","AUT",NA,"PRESENT",8,"iNaturalist",3079616029,"https://www.inaturalist.org/observations/73190250","HUMAN_OBSERVATION",2000,5,14,"WGS84"
"9",2000-06-05,7875,"Butomus umbellatus",4.720404,52.223236,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA",54366031,NA,"HUMAN_OBSERVATION",2000,6,5,"WGS84"
"10",2000-06-29,7876,"Butomus umbellatus",6.179872,52.668053,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA",699649289,NA,"HUMAN_OBSERVATION",2000,6,29,"WGS84"
"11",2000-06-29,7877,"Butomus umbellatus",6.165001,52.663119,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA",699649320,NA,"HUMAN_OBSERVATION",2000,6,29,"WGS84"
