"","species","decimallongitude","decimallatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateuncertaintyinmeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName"
"1","Butomus umbellatus",11.978388,57.7074,"gass84","SWE",NA,"PRESENT",25,"ArtDatabanken","2558468872",NA,"HUMAN_OBSERVATION",2020,1,14,"2020-01-14T00:00:00","WGS84",NA
"2","Butomus umbellatus",18.408582,57.561929,"cdround,gass84","SWE",NA,"PRESENT",10,"ArtDatabanken","2558637007",NA,"HUMAN_OBSERVATION",2020,1,16,"2020-01-16T00:00:00","WGS84",NA
"3","Butomus umbellatus",3.7624,51.08761,"","BEL",NA,"PRESENT",700,"INBO","3063735615","http://Waarnemingen.be","HUMAN_OBSERVATION",2020,4,18,"2020-04-18T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"4","Butomus umbellatus",74.328615,53.98204,"cdround,gass84","RUS",NA,"PRESENT",150,"iNaturalist","2626509111","https://www.inaturalist.org/observations/46213510","HUMAN_OBSERVATION",2020,5,15,"2020-05-15T20:25:00","WGS84","iNaturalist research-grade observations"
"5","Butomus umbellatus",-0.735722,47.351958,"cdround,gass84","FRA",NA,"PRESENT",31,"iNaturalist","2634105435","https://www.inaturalist.org/observations/47817557","HUMAN_OBSERVATION",2020,5,27,"2020-05-27T10:22:00","WGS84","iNaturalist research-grade observations"
"6","Butomus umbellatus",74.21189,53.938842,"cdround,gass84","RUS",NA,"PRESENT",500,"iNaturalist","2634125340","https://www.inaturalist.org/observations/47821792","HUMAN_OBSERVATION",2020,5,30,"2020-05-30T06:50:00","WGS84","iNaturalist research-grade observations"
"7","Butomus umbellatus",77.911508,53.718336,"cdround,gass84","RUS",NA,"PRESENT",5,"iNaturalist","2634141650","https://www.inaturalist.org/observations/47984964","HUMAN_OBSERVATION",2020,5,31,"2020-05-31T18:56:49","WGS84","iNaturalist research-grade observations"
"8","Butomus umbellatus",16.595423,58.952781,"gass84","SWE",NA,"PRESENT",25,"ArtDatabanken","2809565299",NA,"HUMAN_OBSERVATION",2020,5,27,"2020-05-27T00:00:00","WGS84",NA
"9","Butomus umbellatus",0.817757,51.55485,"cdround,gass84","GBR",NA,"PRESENT",3,"iNaturalist","2850531603","https://www.inaturalist.org/observations/47827998","HUMAN_OBSERVATION",2020,5,30,"2020-05-30T10:20:00","WGS84","iNaturalist research-grade observations"
"10","Butomus umbellatus",11.76627,44.940975,"gass84","ITA",NA,"PRESENT",6,"iNaturalist","2850613526","https://www.inaturalist.org/observations/45979371","HUMAN_OBSERVATION",2020,5,15,"2020-05-15T17:47:24","WGS84","iNaturalist research-grade observations"
"11","Butomus umbellatus",8.618621,45.78903,"cdround,gass84","ITA",NA,"PRESENT",6,"iNaturalist","2850953583","https://www.inaturalist.org/observations/46956768","HUMAN_OBSERVATION",2020,5,23,"2020-05-23T14:26:51","WGS84","iNaturalist research-grade observations"
"12","Butomus umbellatus",14.600255,51.431439,"cdround,gass84","DEU",NA,"PRESENT",526,"iNaturalist","2850996589","https://www.inaturalist.org/observations/47876501","HUMAN_OBSERVATION",2020,5,30,"2020-05-30T14:18:12","WGS84","iNaturalist research-grade observations"
"13","Butomus umbellatus",83.366675,53.201461,"cdround,gass84","RUS",NA,"PRESENT",15,"iNaturalist","2641293221","https://www.inaturalist.org/observations/48918772","HUMAN_OBSERVATION",2020,6,7,"2020-06-07T11:47:00","WGS84","iNaturalist research-grade observations"
"14","Butomus umbellatus",61.331908,55.171778,"cdround,gass84","RUS",NA,"PRESENT",31,"iNaturalist","2641359186","https://www.inaturalist.org/observations/48875043","HUMAN_OBSERVATION",2020,6,4,"2020-06-04T08:18:00","WGS84","iNaturalist research-grade observations"
"15","Butomus umbellatus",-2.842805,53.363308,"cdround,gass84","GBR",NA,"PRESENT",5,"iNaturalist","2641369926","https://www.inaturalist.org/observations/48748770","HUMAN_OBSERVATION",2020,6,6,"2020-06-06T12:29:34","WGS84","iNaturalist research-grade observations"
"16","Butomus umbellatus",-81.338755,41.726201,"cdround,gass84","USA",NA,"PRESENT",263,"iNaturalist","2641490634","https://www.inaturalist.org/observations/48503802","HUMAN_OBSERVATION",2020,6,4,"2020-06-04T17:57:10","WGS84","iNaturalist research-grade observations"
"17","Butomus umbellatus",81.215451,53.926816,"cdround,gass84","RUS",NA,"PRESENT",567,"iNaturalist","2641523196","https://www.inaturalist.org/observations/48887928","HUMAN_OBSERVATION",2020,6,3,"2020-06-03T11:01:00","WGS84","iNaturalist research-grade observations"
"18","Butomus umbellatus",16.660296,48.114151,"cdround,gass84","AUT",NA,"PRESENT",5,"iNaturalist","2641524243","https://www.inaturalist.org/observations/48909285","HUMAN_OBSERVATION",2020,6,8,"2020-06-08T16:13:26","WGS84","iNaturalist research-grade observations"
"19","Butomus umbellatus",-2.677754,53.758829,"cdround,gass84","GBR",NA,"PRESENT",2,"iNaturalist","2641538286","https://www.inaturalist.org/observations/48998417","HUMAN_OBSERVATION",2020,6,8,"2020-06-08T21:09:00","WGS84","iNaturalist research-grade observations"
"20","Butomus umbellatus",-73.123665,43.966186,"cdround,gass84","USA",NA,"PRESENT",4,"iNaturalist","2641562317","https://www.inaturalist.org/observations/48961392","HUMAN_OBSERVATION",2020,6,8,"2020-06-08T14:34:02","WGS84","iNaturalist research-grade observations"
"21","Butomus umbellatus",-77.367017,44.159258,"cdround,gass84","CAN",NA,"PRESENT",7,"iNaturalist","2641593723","https://www.inaturalist.org/observations/49271601","HUMAN_OBSERVATION",2020,6,11,"2020-06-11T18:18:50","WGS84","iNaturalist research-grade observations"
"22","Butomus umbellatus",83.136624,54.87006,"cdround,gass84","RUS",NA,"PRESENT",4,"iNaturalist","2802552163","https://www.inaturalist.org/observations/49415840","HUMAN_OBSERVATION",2020,6,13,"2020-06-13T15:39:42","WGS84","iNaturalist research-grade observations"
