"","species","decimallongitude","decimallatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateuncertaintyinmeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName"
"1","Butomus umbellatus",3.18349,50.8405,"refuriiv","BEL",NA,"PRESENT",700,"INBO","868893302",NA,"HUMAN_OBSERVATION",2000,1,1,"2000-01-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"2","Butomus umbellatus",4.57628,51.16089,"refuriiv","BEL",NA,"PRESENT",700,"INBO","868896538",NA,"HUMAN_OBSERVATION",2000,1,1,"2000-01-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"3","Butomus umbellatus",-3.126809,51.496736,"fpwktinv","GBR",NA,"PRESENT",7.1,"SEWBReC","2999684437",NA,"HUMAN_OBSERVATION",2000,1,1,"2000-01-01T00:00:00","WGS84",NA
"4","Butomus umbellatus",-2.55729,51.54412,"fpwktinv","GBR",NA,"PRESENT",70.7,"BRERC","2960270967",NA,"HUMAN_OBSERVATION",2000,3,23,"2000-03-23T00:00:00","WGS84",NA
"5","Butomus umbellatus",35.771643,32.882798,"cdround,gass84","ISR",NA,"PRESENT",1000,"INPA","48435538",NA,"OBSERVATION",2000,5,23,"2000-05-23T00:00:00","WGS84",NA
"6","Butomus umbellatus",35.768529,32.897239,"cdround,gass84","ISR",NA,"PRESENT",1000,"INPA","48586852",NA,"OBSERVATION",2000,5,22,"2000-05-22T00:00:00","WGS84",NA
"7","Butomus umbellatus",9.69726,56.00308,"","DNK",NA,"PRESENT",109.27,"DMP","2885414419",NA,"HUMAN_OBSERVATION",2000,5,30,"2000-05-30T00:00:00","WGS84",NA
"8","Butomus umbellatus",-2.777796,51.367526,"fpwktinv","GBR",NA,"PRESENT",70.7,"BRERC","2959580853",NA,"HUMAN_OBSERVATION",2000,5,5,"2000-05-05T00:00:00","WGS84",NA
"9","Butomus umbellatus",16.326901,48.288981,"cdround,gass84","AUT",NA,"PRESENT",8,"iNaturalist","3079616029","https://www.inaturalist.org/observations/73190250","HUMAN_OBSERVATION",2000,5,14,"2000-05-14T13:48:00","WGS84","iNaturalist research-grade observations"
"10","Butomus umbellatus",4.720404,52.223236,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","54366031",NA,"HUMAN_OBSERVATION",2000,6,5,"2000-06-05T00:00:00","WGS84",NA
"11","Butomus umbellatus",6.179872,52.668053,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","699649289",NA,"HUMAN_OBSERVATION",2000,6,29,"2000-06-29T00:00:00","WGS84",NA
"12","Butomus umbellatus",6.165001,52.663119,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","699649320",NA,"HUMAN_OBSERVATION",2000,6,29,"2000-06-29T00:00:00","WGS84",NA
"13","Butomus umbellatus",6.162916,52.662233,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","699649453",NA,"HUMAN_OBSERVATION",2000,6,29,"2000-06-29T00:00:00","WGS84",NA
"14","Butomus umbellatus",6.138446,52.640192,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","699649533",NA,"HUMAN_OBSERVATION",2000,6,29,"2000-06-29T00:00:00","WGS84",NA
"15","Butomus umbellatus",6.159681,52.545418,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","699661599",NA,"HUMAN_OBSERVATION",2000,6,6,"2000-06-06T00:00:00","WGS84",NA
"16","Butomus umbellatus",5.885343,52.533405,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","699679283",NA,"HUMAN_OBSERVATION",2000,6,21,"2000-06-21T00:00:00","WGS84",NA
"17","Butomus umbellatus",6.020507,52.606457,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","699697738",NA,"HUMAN_OBSERVATION",2000,6,30,"2000-06-30T00:00:00","WGS84",NA
"18","Butomus umbellatus",6.093029,52.489031,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","699776226",NA,"HUMAN_OBSERVATION",2000,6,26,"2000-06-26T00:00:00","WGS84",NA
"19","Butomus umbellatus",4.619397,51.792596,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","700166666",NA,"HUMAN_OBSERVATION",2000,6,28,"2000-06-28T00:00:00","WGS84",NA
"20","Butomus umbellatus",13.117137,55.552734,"gass84","SWE",NA,"PRESENT",50,"ArtDatabanken","854588950",NA,"HUMAN_OBSERVATION",2000,6,19,"2000-06-19T00:00:00","WGS84",NA
"21","Butomus umbellatus",2.91683,51.19713,"refuriiv","BEL",NA,"PRESENT",700,"INBO","868893366",NA,"HUMAN_OBSERVATION",2000,6,1,"2000-06-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"22","Butomus umbellatus",3.11709,51.19941,"refuriiv","BEL",NA,"PRESENT",700,"INBO","868895595",NA,"HUMAN_OBSERVATION",2000,6,1,"2000-06-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"23","Butomus umbellatus",3.12922,51.28045,"refuriiv","BEL",NA,"PRESENT",700,"INBO","868895678",NA,"HUMAN_OBSERVATION",2000,6,1,"2000-06-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"24","Butomus umbellatus",3.10278,51.19926,"refuriiv","BEL",NA,"PRESENT",700,"INBO","868895891",NA,"HUMAN_OBSERVATION",2000,6,1,"2000-06-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"25","Butomus umbellatus",5.295336,52.276564,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","1053204924",NA,"HUMAN_OBSERVATION",2000,6,16,"2000-06-16T00:00:00","WGS84",NA
"26","Butomus umbellatus",5.295334,52.277283,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","1053211138",NA,"HUMAN_OBSERVATION",2000,6,14,"2000-06-14T00:00:00","WGS84",NA
"27","Butomus umbellatus",6.668109,52.604655,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","1053254562",NA,"HUMAN_OBSERVATION",2000,6,6,"2000-06-06T00:00:00","WGS84",NA
"28","Butomus umbellatus",6.630822,52.659159,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","1053259487",NA,"HUMAN_OBSERVATION",2000,6,26,"2000-06-26T00:00:00","WGS84",NA
"29","Butomus umbellatus",5.780313,52.81992,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","1053309769",NA,"HUMAN_OBSERVATION",2000,6,28,"2000-06-28T00:00:00","WGS84",NA
"30","Butomus umbellatus",10.833206,54.945765,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342246644",NA,"HUMAN_OBSERVATION",2000,6,25,"2000-06-25T00:00:00","WGS84",NA
"31","Butomus umbellatus",11.682019,55.496333,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342246649",NA,"HUMAN_OBSERVATION",2000,6,25,"2000-06-25T00:00:00","WGS84",NA
"32","Butomus umbellatus",11.353626,54.766007,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342246662",NA,"HUMAN_OBSERVATION",2000,6,27,"2000-06-27T00:00:00","WGS84",NA
