"","field_1","species","decimallon","decimallat","issues","countryCod","individual","occurrence","coordinate","institutio","gbifID","references","basisOfRec","year","month","day","eventDate","geodeticDa"
"1",12972,"Pilosella officinarum",175.9384,-39.2108,"gass84","NZL",NA,"PRESENT",50,"Landcare Research",1312367514,NA,"HUMAN_OBSERVATION",2000,2,1,"2000-02-01","WGS84"
"2",12973,"Pilosella officinarum",175.9346,-39.2587,"gass84","NZL",NA,"PRESENT",50,"Landcare Research",1312367678,NA,"HUMAN_OBSERVATION",2000,2,1,"2000-02-01","WGS84"
"3",12974,"Pilosella officinarum",4.44756,51.12509,"refuriiv","BEL",NA,"PRESENT",700,"INBO",869821951,NA,"HUMAN_OBSERVATION",2000,3,1,"00:00.0","WGS84"
"4",12975,"Pilosella officinarum",4.31901,51.11612,"refuriiv","BEL",NA,"PRESENT",700,"INBO",869823244,NA,"HUMAN_OBSERVATION",2000,4,1,"00:00.0","WGS84"
"5",12976,"Pilosella officinarum",8.336808,56.727886,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556285,NA,"HUMAN_OBSERVATION",2000,4,30,"00:00.0","WGS84"
"6",12977,"Pilosella officinarum",8.858302,57.115863,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556566,NA,"HUMAN_OBSERVATION",2000,4,25,"00:00.0","WGS84"
"7",12978,"Pilosella officinarum",8.874876,57.097914,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556574,NA,"HUMAN_OBSERVATION",2000,4,10,"00:00.0","WGS84"
"8",12979,"Pilosella officinarum",9.169032,56.451031,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556751,NA,"HUMAN_OBSERVATION",2000,4,27,"00:00.0","WGS84"
"9",12980,"Pilosella officinarum",10.057473,56.311869,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557262,NA,"HUMAN_OBSERVATION",2000,4,20,"00:00.0","WGS84"
"10",12981,"Pilosella officinarum",11.665601,55.487703,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557813,NA,"HUMAN_OBSERVATION",2000,4,30,"00:00.0","WGS84"
"11",12982,"Pilosella officinarum",11.58471,58.677694,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3000547700,NA,"HUMAN_OBSERVATION",2000,4,26,"00:00.0","WGS84"
"12",12983,"Pilosella officinarum",11.336056,58.780765,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3000830377,NA,"HUMAN_OBSERVATION",2000,4,28,"00:00.0","WGS84"
"13",12984,"Pilosella officinarum",11.517696,58.247683,"gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049409854,NA,"HUMAN_OBSERVATION",2000,4,20,"00:00.0","WGS84"
"14",12985,"Pilosella officinarum",11.404849,58.733782,"cdround,gass84","SWE",NA,"PRESENT",100,"F<U+FFFD>reningen Bohusl<U+FFFD>ns Flora",3049865001,NA,"HUMAN_OBSERVATION",2000,4,30,"00:00.0","WGS84"
"15",12986,"Pilosella officinarum",5.172688,51.668714,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA",55874247,NA,"HUMAN_OBSERVATION",2000,5,1,"00:00.0","WGS84"
"16",12987,"Pilosella officinarum",6.383627,52.539254,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA",699651362,NA,"HUMAN_OBSERVATION",2000,5,15,"00:00.0","WGS84"
"17",12989,"Pilosella officinarum",14.079781,57.691295,"cdround,gass84","SWE",NA,"PRESENT",10,"ArtDatabanken",849494805,NA,"HUMAN_OBSERVATION",2000,5,21,"00:00.0","WGS84"
"18",12991,"Pilosella officinarum",14.083113,57.688107,"gass84","SWE",NA,"PRESENT",10,"ArtDatabanken",849494874,NA,"HUMAN_OBSERVATION",2000,5,21,"00:00.0","WGS84"
"19",12993,"Pilosella officinarum",3.73811,50.77286,"refuriiv","BEL",NA,"PRESENT",700,"INBO",869821191,NA,"HUMAN_OBSERVATION",2000,5,1,"00:00.0","WGS84"
"20",12994,"Pilosella officinarum",3.27465,51.19198,"refuriiv","BEL",NA,"PRESENT",1000,"INBO",869823558,NA,"HUMAN_OBSERVATION",2000,5,1,"00:00.0","WGS84"
"21",12995,"Pilosella officinarum",2.84591,51.17826,"refuriiv","BEL",NA,"PRESENT",1000,"INBO",869823830,NA,"HUMAN_OBSERVATION",2000,5,1,"00:00.0","WGS84"
"22",12996,"Pilosella officinarum",4.63161,50.83716,"refuriiv","BEL",NA,"PRESENT",700,"INBO",869824549,NA,"HUMAN_OBSERVATION",2000,5,1,"00:00.0","WGS84"
"23",13001,"Pilosella officinarum",9.26667,42.33333,"gass84,colmano,inmafu","FRA",NA,"PRESENT",850,"G",1144737614,NA,"PRESERVED_SPECIMEN",2000,5,29,"00:00.0","WGS84"
"24",13003,"Pilosella officinarum",9.369925,57.088448,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556866,NA,"HUMAN_OBSERVATION",2000,5,21,"00:00.0","WGS84"
"25",13004,"Pilosella officinarum",9.484609,55.749381,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556912,NA,"HUMAN_OBSERVATION",2000,5,29,"00:00.0","WGS84"
"26",13005,"Pilosella officinarum",9.622091,56.377712,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342556992,NA,"HUMAN_OBSERVATION",2000,5,23,"00:00.0","WGS84"
"27",13006,"Pilosella officinarum",9.88405,56.501907,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557099,NA,"HUMAN_OBSERVATION",2000,5,10,"00:00.0","WGS84"
"28",13007,"Pilosella officinarum",10.025164,56.914106,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557228,NA,"HUMAN_OBSERVATION",2000,5,7,"00:00.0","WGS84"
"29",13008,"Pilosella officinarum",10.15852,56.445741,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557300,NA,"HUMAN_OBSERVATION",2000,5,6,"00:00.0","WGS84"
"30",13009,"Pilosella officinarum",10.808785,56.473912,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557638,NA,"HUMAN_OBSERVATION",2000,5,15,"00:00.0","WGS84"
"31",13010,"Pilosella officinarum",11.534092,55.903969,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD",1342557806,NA,"HUMAN_OBSERVATION",2000,5,15,"00:00.0","WGS84"
"32",13013,"Pilosella officinarum",14.08729,57.692025,"cdround,gass84","SWE",NA,"PRESENT",50,"F<U+FFFD>reningen Sm<U+FFFD>lands flora",2246343302,NA,"HUMAN_OBSERVATION",2000,5,20,"00:00.0","WGS84"
