"","species","decimallongitude","decimallatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateuncertaintyinmeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName"
"1","Pilosella officinarum",10.460145,59.940186,"cdround,gass84","NOR",NA,"PRESENT",10,"nbf","2544032616",NA,"HUMAN_OBSERVATION",2020,1,1,"2020-01-01T00:00:00","WGS84",NA
"2","Pilosella officinarum",10.829532,59.308727,"cdround,gass84","NOR",NA,"PRESENT",8,"nbf","2544267772",NA,"HUMAN_OBSERVATION",2020,1,4,"2020-01-04T00:00:00","WGS84",NA
"3","Pilosella officinarum",17.199719,59.067687,"cdround,gass84","SWE",NA,"PRESENT",25,"ArtDatabanken","2548572333",NA,"HUMAN_OBSERVATION",2020,1,2,"2020-01-02T00:00:00","WGS84",NA
"4","Pilosella officinarum",16.265382,58.966617,"cdround,gass84","SWE",NA,"PRESENT",75,"ArtDatabanken","2548831614",NA,"HUMAN_OBSERVATION",2020,1,3,"2020-01-03T00:00:00","WGS84",NA
"5","Pilosella officinarum",10.845621,59.652192,"cdround,gass84","NOR",NA,"PRESENT",20,"nbf","2549614816",NA,"HUMAN_OBSERVATION",2020,1,10,"2020-01-10T00:00:00","WGS84",NA
"6","Pilosella officinarum",10.821663,59.620869,"cdround,gass84","NOR",NA,"PRESENT",20,"nbf","2549738302",NA,"HUMAN_OBSERVATION",2020,1,9,"2020-01-09T00:00:00","WGS84",NA
"7","Pilosella officinarum",10.827942,59.612691,"cdround,gass84","NOR",NA,"PRESENT",20,"nbf","2556494739",NA,"HUMAN_OBSERVATION",2020,1,16,"2020-01-16T00:00:00","WGS84",NA
"8","Pilosella officinarum",10.662706,59.464556,"cdround,gass84","NOR",NA,"PRESENT",10,"nbf","2556498922",NA,"HUMAN_OBSERVATION",2020,1,18,"2020-01-18T00:00:00","WGS84",NA
"9","Pilosella officinarum",10.832586,59.627692,"cdround,gass84","NOR",NA,"PRESENT",20,"nbf","2556518264",NA,"HUMAN_OBSERVATION",2020,1,13,"2020-01-13T00:00:00","WGS84",NA
"10","Pilosella officinarum",11.220452,59.263212,"cdround,gass84","NOR",NA,"PRESENT",10,"nbf","2556530005",NA,"HUMAN_OBSERVATION",2020,1,20,"2020-01-20T00:00:00","WGS84",NA
"11","Pilosella officinarum",10.823531,59.614872,"cdround,gass84","NOR",NA,"PRESENT",20,"nbf","2556561114",NA,"HUMAN_OBSERVATION",2020,1,17,"2020-01-17T00:00:00","WGS84",NA
