field_1,fid,SciName,decimallon,decimallat,issues,countryCod,occurrence,coordinate,institutio,references,basisOfRec,year,month,day,eventDate,geodeticDa
"1","7818171",Geranium lucidum,-122.253381000000005,45.818076800000000,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2017","5","30",2017-05-30,NA
"2","7818163",Geranium lucidum,-122.254442800000007,45.818496799999998,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2017","5","30",2017-05-30,NA
"3","7818161",Geranium lucidum,-122.316598799999994,47.624278799999999,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2018","10","13",2018-10-13,NA
"9","7818169",Geranium lucidum,-124.194104100000004,41.752921700000002,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2014","10","27",2014-10-27,NA
"11","2185609",Geranium lucidum,-123.446290000000005,43.802360000000000,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2011","5","29",2011-29-05,NA
"12","2185610",Geranium lucidum,-122.793130000000005,42.196040000000004,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2005","9","13",2005-13-09,NA
"13","2185612",Geranium lucidum,-122.795389999999998,42.199890000000003,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2005","9","13",2005-13-09,NA
"14","2185613",Geranium lucidum,-123.484480000000005,44.439050000000002,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2006","10","9",2006-10-09,NA
"15","2185615",Geranium lucidum,-123.532300000000006,44.434550000000002,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2007","11","9",2007-11-09,NA
"16","2185616",Geranium lucidum,-123.479020000000006,44.440730000000002,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2006","10","9",2006-10-09,NA
"17","2185617",Geranium lucidum,-123.511790000000005,44.459359999999997,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2009","6","14",06-14-09,NA
"18","2185619",Geranium lucidum,-123.508700000000005,44.460389999999997,NA,NA,PRESENT,NA,EDDMaps,NA,NA,"2009","6","14",06-14-09,NA
