field_1,field_1_1,species,decimallon,decimallat,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa
"8","16",Butomus umbellatus,-81.338755000000006,41.726201000000003,cdround,USA,NA,PRESENT,"263",iNaturalist,"2641490634",https://www.inaturalist.org/observations/48503802,HUMAN_OBSERVATION,"2020","6","4",2020-06-04,WGS84
"12","20",Butomus umbellatus,-73.123665000000003,43.966186000000000,cdround,USA,NA,PRESENT,"4",iNaturalist,"2641562317",https://www.inaturalist.org/observations/48961392,HUMAN_OBSERVATION,"2020","6","8",2020-06-08,WGS84
"18","32",Butomus umbellatus,-83.130392000000001,42.676521000000001,cdround,USA,NA,PRESENT,"8",iNaturalist,"2802699336",https://www.inaturalist.org/observations/49914648,HUMAN_OBSERVATION,"2020","6","16",2020-06-16,WGS84
"27","48",Butomus umbellatus,-73.056933000000001,45.145864000000003,cdround,CAN,NA,PRESENT,"7",iNaturalist,"2802847234",https://www.inaturalist.org/observations/50795454,HUMAN_OBSERVATION,"2020","6","24",2020-06-24,WGS84
"29","52",Butomus umbellatus,-72.895754999999994,45.488531000000002,cdround,CAN,NA,PRESENT,"8",iNaturalist,"2802909617",https://www.inaturalist.org/observations/50933259,HUMAN_OBSERVATION,"2020","6","25",2020-06-25,WGS84
"33","58",Butomus umbellatus,-73.625234000000006,45.536000000000001,cdround,CAN,NA,PRESENT,"22",iNaturalist,"2802953003",https://www.inaturalist.org/observations/50739020,HUMAN_OBSERVATION,"2020","6","23",2020-06-23,WGS84
"44","75",Butomus umbellatus,-73.406706999999997,45.680363000000000,cdround,CAN,NA,PRESENT,"33",iNaturalist,"2803115354",https://www.inaturalist.org/observations/49947057,HUMAN_OBSERVATION,"2020","6","17",2020-06-17,WGS84
"47","80",Butomus umbellatus,-90.173186999999999,42.054321999999999,cdround,USA,NA,PRESENT,"5",iNaturalist,"2803146587",https://www.inaturalist.org/observations/50571478,HUMAN_OBSERVATION,"2020","6","19",2020-06-19,WGS84
"57","100",Butomus umbellatus,-73.268677999999994,43.871327999999998,cdround,USA,NA,PRESENT,"5",iNaturalist,"2813882993",https://www.inaturalist.org/observations/51182955,HUMAN_OBSERVATION,"2020","6","24",2020-06-24,WGS84
"68","113",Butomus umbellatus,-76.384872000000001,42.483528000000000,cdround,USA,NA,PRESENT,"174",iNaturalist,"2813968629",https://www.inaturalist.org/observations/51371917,HUMAN_OBSERVATION,"2020","6","28",2020-06-28,WGS84
"70","115",Butomus umbellatus,-73.398140999999995,44.024771999999999,cdround,USA,NA,PRESENT,"5",iNaturalist,"2813989347",https://www.inaturalist.org/observations/51755491,HUMAN_OBSERVATION,"2020","6","28",2020-06-28,WGS84
"76","122",Butomus umbellatus,-68.794319999999999,44.818446999999999,cdround,USA,NA,PRESENT,"24",iNaturalist,"2814142600",https://www.inaturalist.org/observations/51272246,HUMAN_OBSERVATION,"2020","6","25",2020-06-25,WGS84
"80","131",Butomus umbellatus,-78.257666999999998,43.365867000000001,cdround,USA,NA,PRESENT,"48",iNaturalist,"2814223707",https://www.inaturalist.org/observations/50535840,HUMAN_OBSERVATION,"2020","6","21",2020-06-21,WGS84
"81","133",Butomus umbellatus,-78.390371000000002,43.238622999999997,cdround,USA,NA,PRESENT,"488",iNaturalist,"2814233868",https://www.inaturalist.org/observations/51428580,HUMAN_OBSERVATION,"2020","6","25",2020-06-25,WGS84
"82","135",Butomus umbellatus,-76.960611999999998,42.680487999999997,cdround,USA,NA,PRESENT,"61",iNaturalist,"2814251687",https://www.inaturalist.org/observations/49374920,HUMAN_OBSERVATION,"2020","6","12",2020-06-12,WGS84
"92","151",Butomus umbellatus,-73.297358000000003,44.241045999999997,cdround,USA,NA,PRESENT,"29",iNaturalist,"2823117523",https://www.inaturalist.org/observations/52388059,HUMAN_OBSERVATION,"2020","6","30",2020-06-30,WGS84
"95","154",Butomus umbellatus,-83.602328000000000,42.589736000000002,cdround,USA,NA,PRESENT,"26",iNaturalist,"2850968642",https://www.inaturalist.org/observations/49384889,HUMAN_OBSERVATION,"2020","6","12",2020-06-12,WGS84
"113","179",Butomus umbellatus,-74.064575000000005,45.101056999999997,cdround,CAN,NA,PRESENT,"16",iNaturalist,"3039260573",https://www.inaturalist.org/observations/50789700,HUMAN_OBSERVATION,"2020","6","24",2020-06-24,WGS84
"117","187",Butomus umbellatus,-73.068186999999995,45.123123000000000,cdround,CAN,NA,PRESENT,"17",iNaturalist,"3058706489",https://www.inaturalist.org/observations/49987304,HUMAN_OBSERVATION,"2020","6","17",2020-06-17,WGS84
"119","190",Butomus umbellatus,-72.449804999999998,43.190942000000000,cdround,USA,NA,PRESENT,"30",iNaturalist,"3067666958",https://www.inaturalist.org/observations/50182344,HUMAN_OBSERVATION,"2020","6","19",2020-06-19,WGS84
"120","191",Butomus umbellatus,-72.531195999999994,42.901713999999998,cdround,USA,NA,PRESENT,"5",iNaturalist,"3067954023",https://www.inaturalist.org/observations/51064008,HUMAN_OBSERVATION,"2020","6","26",2020-06-26,WGS84
"143","235",Butomus umbellatus,-83.192701000000000,42.062719000000001,cdround,USA,NA,PRESENT,"79",iNaturalist,"2814353331",https://www.inaturalist.org/observations/52080193,HUMAN_OBSERVATION,"2020","7","5",2020-07-05,WGS84
"147","245",Butomus umbellatus,-88.274790999999993,42.963417999999997,cdround,USA,NA,PRESENT,"60",iNaturalist,"2814477553",https://www.inaturalist.org/observations/52416931,HUMAN_OBSERVATION,"2020","7","8",2020-07-08,WGS84
"172","282",Butomus umbellatus,-73.260278000000000,44.242252999999998,cdround,USA,NA,PRESENT,"9",iNaturalist,"2818724293",https://www.inaturalist.org/observations/53007672,HUMAN_OBSERVATION,"2020","7","13",2020-07-13,WGS84
"179","290",Butomus umbellatus,-72.507007000000002,43.349117999999997,cdround,USA,NA,PRESENT,"17",iNaturalist,"2818784337",https://www.inaturalist.org/observations/53070857,HUMAN_OBSERVATION,"2020","7","14",2020-07-14,WGS84
"206","347",Butomus umbellatus,-73.963302999999996,45.090530000000001,cdround,CAN,NA,PRESENT,"65",iNaturalist,"2823354433",https://www.inaturalist.org/observations/53889580,HUMAN_OBSERVATION,"2020","7","21",2020-07-21,WGS84
"210","352",Butomus umbellatus,-73.224307999999994,44.480137999999997,cdround,USA,NA,PRESENT,"62",iNaturalist,"2823392716",https://www.inaturalist.org/observations/54110862,HUMAN_OBSERVATION,"2020","7","23",2020-07-23,WGS84
"221","369",Butomus umbellatus,-75.981772000000007,44.020589000000001,cdround,USA,NA,PRESENT,"14",iNaturalist,"2826250775",https://www.inaturalist.org/observations/54830438,HUMAN_OBSERVATION,"2020","7","30",2020-07-30,WGS84
"229","380",Butomus umbellatus,-88.308401000000003,42.905645000000000,cdround,USA,NA,PRESENT,"304",iNaturalist,"2826305151",https://www.inaturalist.org/observations/54412199,HUMAN_OBSERVATION,"2020","7","26",2020-07-26,WGS84
"233","384",Butomus umbellatus,-82.791499000000002,42.581204999999997,cdround,USA,NA,PRESENT,"17",iNaturalist,"2826313626",https://www.inaturalist.org/observations/52995415,HUMAN_OBSERVATION,"2020","7","13",2020-07-13,WGS84
"272","445",Butomus umbellatus,-90.728134999999995,42.667926000000001,cdround,USA,NA,PRESENT,"993",iNaturalist,"2850546730",https://www.inaturalist.org/observations/52617069,HUMAN_OBSERVATION,"2020","7","4",2020-07-04,WGS84
"277","451",Butomus umbellatus,-78.861564000000001,42.755834000000000,cdround,USA,NA,PRESENT,"179",iNaturalist,"2850578708",https://www.inaturalist.org/observations/52250904,HUMAN_OBSERVATION,"2020","7","6",2020-07-06,WGS84
"278","452",Butomus umbellatus,-76.681537000000006,43.059317000000000,cdround,USA,NA,PRESENT,"24",iNaturalist,"2850603788",https://www.inaturalist.org/observations/53476805,HUMAN_OBSERVATION,"2020","7","18",2020-07-18,WGS84
"286","460",Butomus umbellatus,-73.891707999999994,42.614387000000001,cdround,USA,NA,PRESENT,"5",iNaturalist,"2850931849",https://www.inaturalist.org/observations/54743707,HUMAN_OBSERVATION,"2020","7","28",2020-07-28,WGS84
"287","461",Butomus umbellatus,-73.693179999999998,42.775235000000002,cdround,USA,NA,PRESENT,"4",iNaturalist,"2850938838",https://www.inaturalist.org/observations/54037275,HUMAN_OBSERVATION,"2020","7","23",2020-07-23,WGS84
"295","472",Butomus umbellatus,-71.240409000000000,46.823943000000000,cdround,CAN,NA,PRESENT,"59",iNaturalist,"2851023700",https://www.inaturalist.org/observations/52267204,HUMAN_OBSERVATION,"2020","7","7",2020-07-07,WGS84
"319","505",Butomus umbellatus,-88.519420999999994,44.021340000000002,cdround,USA,NA,PRESENT,"72",iNaturalist,"3013885593",https://www.inaturalist.org/observations/66714676,HUMAN_OBSERVATION,"2020","7","17",2020-07-17,WGS84
"337","527",Butomus umbellatus,-73.740875000000003,45.602294999999998,NA,CAN,NA,PRESENT,"16",iNaturalist,"3090620795",https://www.inaturalist.org/observations/54074262,HUMAN_OBSERVATION,"2020","7","23",2020-07-23,WGS84
"369","583",Butomus umbellatus,-84.027316999999996,43.337668000000001,cdround,USA,NA,PRESENT,"184",iNaturalist,"2850671567",https://www.inaturalist.org/observations/56276082,HUMAN_OBSERVATION,"2020","8","7",2020-08-07,WGS84
"376","592",Butomus umbellatus,-95.781491000000003,50.372596999999999,cdround,CAN,NA,PRESENT,"9",iNaturalist,"2850742980",https://www.inaturalist.org/observations/56585694,HUMAN_OBSERVATION,"2020","8","15",2020-08-15,WGS84
"379","597",Butomus umbellatus,-83.450635000000005,42.528849000000001,cdround,USA,NA,PRESENT,"220",iNaturalist,"2850754391",https://www.inaturalist.org/observations/55527770,HUMAN_OBSERVATION,"2020","8","5",2020-08-05,WGS84
"416","642",Butomus umbellatus,-73.259095000000002,44.228119999999997,NA,USA,NA,PRESENT,"5",iNaturalist,"2851116252",https://www.inaturalist.org/observations/56749040,HUMAN_OBSERVATION,"2020","8","16",2020-08-16,WGS84
