SciName,eventDate,year,fid,decimallon,decimallat,issues,countryCod,occurrence,coordinate,institutio,references,basisOfRec,month,day,geodeticDa,datasetNam,catalogNum,layer,path
Geranium lucidum,2017-05-30,2017,7818171,-122.253381,45.8180768,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2017-05-30,2017,7818163,-122.2544428,45.8184968,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2018-10-13,2018,7818161,-122.3165988,47.6242788,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2019-06-01,2019,7818164,-124.1646822,40.7604254,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2016-07-01,2016,7817165,-124.098865,40.7841944,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2018-05-21,2018,7818166,-124.1029204,41.6068498,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2013-05-28,2013,7817167,-124.0915359,41.2544748,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2013-05-28,2013,7818168,-124.0885721,41.2512873,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2014-10-27,2014,7818169,-124.1941041,41.7529217,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2015-02-15,2015,7818170,-124.0427922,41.4719645,,,PRESENT,,EDDMaps,,,,,Unknown,,,,
Geranium lucidum,2011-29-05,2011,2185609,-123.44629,43.80236,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2005-13-09,2005,2185610,-122.79313,42.19604,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2005-13-09,2005,2185612,-122.79539,42.19989,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2006-10-09,2006,2185613,-123.48448,44.43905,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2007-11-09,2007,2185615,-123.5323,44.43455,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2006-10-09,2006,2185616,-123.47902,44.44073,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-14-09,2006,2185617,-123.51179,44.45936,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-14-09,2006,2185619,-123.5087,44.46039,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2007-11-09,2007,2185620,-123.52843,44.43457,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-14-09,2006,2185622,-123.50402,44.45548,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-15-08,2006,2185623,-123.24886,44.07566,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
