"","fid","SciName","decimallon","decimallat","issues","countryCod","occurrence","coordinate","institutio","references","basisOfRec","year","month","day","eventDate","geodeticDa"
"1",4055,"Geranium lucidum",12.505016,59.079737,"cdround,gass84","SWE","PRESENT",100,"ArtDatabanken",NA,"HUMAN_OBSERVATION",2000,1,1,"2000-01-01","WGS84"
"2",4056,"Geranium lucidum",12.460127,59.076519,"cdround,gass84","SWE","PRESENT",100,"ArtDatabanken",NA,"HUMAN_OBSERVATION",2000,1,1,"2000-01-01","WGS84"
"3",4057,"Geranium lucidum",12.049274,58.609569,"gass84","SWE","PRESENT",100,"ArtDatabanken",NA,"HUMAN_OBSERVATION",2000,1,1,"2000-01-01","WGS84"
"4",4058,"Geranium lucidum",-2.283537,42.641725,"gass84,osiic,colmano,inmafu","ESP","PRESENT",40,"PAMP",NA,"PRESERVED_SPECIMEN",2000,2,11,"2000-02-11","WGS84"
"5",4059,"Geranium lucidum",34.958578,32.433886,"cdround,gass84","ISR","PRESENT",1000,"INPA",NA,"OBSERVATION",2000,3,14,"2000-03-14","WGS84"
"6",4060,"Geranium lucidum",34.908006,32.291299,"cdround,gass84","ISR","PRESENT",1000,"INPA",NA,"OBSERVATION",2000,3,30,"2000-03-30","WGS84"
"7",4061,"Geranium lucidum",34.857319,32.21993,"cdround,gass84","ISR","PRESENT",1000,"INPA",NA,"OBSERVATION",2000,3,30,"2000-03-30","WGS84"
"8",4062,"Geranium lucidum",-4.662788,51.912719,"fpwktinv","GBR","PRESENT",70.7,"West Wales Biodiversity Information Centre",NA,"HUMAN_OBSERVATION",2000,3,17,"2000-03-17","WGS84"
"9",4063,"Geranium lucidum",-2.792431,52.783478,"fpwktinv","GBR","PRESENT",70.7,"SEDN",NA,"HUMAN_OBSERVATION",2000,3,29,"2000-03-29","WGS84"
"10",4064,"Geranium lucidum",34.955415,32.035294,"cdround,gass84","ISR","PRESENT",1000,"INPA",NA,"OBSERVATION",2000,4,5,"2000-04-05","WGS84"
"11",4065,"Geranium lucidum",-8.55,42.89,"gass84,osiic,colmafu,inmafu","ESP","PRESENT",707,"ABH",NA,"PRESERVED_SPECIMEN",2000,4,27,"2000-04-27","WGS84"
"12",4066,"Geranium lucidum",-2.448088,51.290124,"fpwktinv","GBR","PRESENT",70.7,"BRERC",NA,"HUMAN_OBSERVATION",2000,4,10,"2000-04-10","WGS84"
"13",4067,"Geranium lucidum",-2.445687,52.657634,"fpwktinv","GBR","PRESENT",70.7,"SEDN",NA,"HUMAN_OBSERVATION",2000,4,19,"2000-04-19","WGS84"
"14",4068,"Geranium lucidum",-2.187073,51.285438,"fpwktinv","GBR","PRESENT",70.7,"BSBI",NA,"HUMAN_OBSERVATION",2000,4,14,"2000-04-14","WGS84"
"15",4069,"Geranium lucidum",-2.323488,54.161956,"fpwktinv","GBR","PRESENT",7.1,"YWT",NA,"HUMAN_OBSERVATION",2000,4,30,"2000-04-30","WGS84"
"16",4070,"Geranium lucidum",5.90226,51.834962,"cdround,cudc,colmafu,inmafu","NLD","PRESENT",500,"NMNL",NA,"PRESERVED_SPECIMEN",2000,5,10,"2000-05-10","WGS84"
"17",4072,"Geranium lucidum",14.248322,55.655729,"gass84","SWE","PRESENT",100,"Lunds Botaniska f<U+FFFD>rening",NA,"HUMAN_OBSERVATION",2000,5,14,"2000-05-14","WGS84"
"18",4074,"Geranium lucidum",10.4372,59.4451,"incomis,inmafu","NOR","PRESENT",707,"O",NA,"PRESERVED_SPECIMEN",2000,5,5,"2000-05-05","WGS84"
"19",4075,"Geranium lucidum",9.6071,59.1261,"incomis,inmafu","NOR","PRESENT",71,"O",NA,"PRESERVED_SPECIMEN",2000,5,18,"2000-05-18","WGS84"
"20",4079,"Geranium lucidum",-2.417024,51.501543,"fpwktinv","GBR","PRESENT",70.7,"BRERC",NA,"HUMAN_OBSERVATION",2000,5,10,"2000-05-10","WGS84"
