"","species","decimallongitude","decimallatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateuncertaintyinmeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName"
"1","Geranium lucidum",12.505016,59.079737,"cdround,gass84","SWE",NA,"PRESENT",100,"ArtDatabanken","853421215",NA,"HUMAN_OBSERVATION",2000,1,1,"2000-01-01T00:00:00","WGS84",NA
"2","Geranium lucidum",12.460127,59.076519,"cdround,gass84","SWE",NA,"PRESENT",100,"ArtDatabanken","853427600",NA,"HUMAN_OBSERVATION",2000,1,1,"2000-01-01T00:00:00","WGS84",NA
"3","Geranium lucidum",12.049274,58.609569,"gass84","SWE",NA,"PRESENT",100,"ArtDatabanken","853443083",NA,"HUMAN_OBSERVATION",2000,1,1,"2000-01-01T00:00:00","WGS84",NA
"4","Geranium lucidum",-2.283537,42.641725,"gass84,osiic,colmano,inmafu","ESP",1,"PRESENT",40,"PAMP","1795863128",NA,"PRESERVED_SPECIMEN",2000,2,11,"2000-02-11T00:00:00","WGS84",NA
"5","Geranium lucidum",34.958578,32.433886,"cdround,gass84","ISR",NA,"PRESENT",1000,"INPA","48388475",NA,"OBSERVATION",2000,3,14,"2000-03-14T00:00:00","WGS84",NA
"6","Geranium lucidum",34.908006,32.291299,"cdround,gass84","ISR",NA,"PRESENT",1000,"INPA","48528091",NA,"OBSERVATION",2000,3,30,"2000-03-30T00:00:00","WGS84",NA
"7","Geranium lucidum",34.857319,32.21993,"cdround,gass84","ISR",NA,"PRESENT",1000,"INPA","48667979",NA,"OBSERVATION",2000,3,30,"2000-03-30T00:00:00","WGS84",NA
"8","Geranium lucidum",-4.662788,51.912719,"","GBR",NA,"PRESENT",70.7,"West Wales Biodiversity Information Centre","2909283947",NA,"HUMAN_OBSERVATION",2000,3,17,"2000-03-17T00:00:00","WGS84",NA
"9","Geranium lucidum",-2.792431,52.783478,"","GBR",NA,"PRESENT",70.7,"SEDN","3058032142",NA,"HUMAN_OBSERVATION",2000,3,29,"2000-03-29T00:00:00","WGS84",NA
"10","Geranium lucidum",34.955415,32.035294,"cdround,gass84","ISR",NA,"PRESENT",1000,"INPA","48885893",NA,"OBSERVATION",2000,4,5,"2000-04-05T00:00:00","WGS84",NA
"11","Geranium lucidum",-8.55,42.89,"gass84,osiic,colmafu,inmafu","ESP",1,"PRESENT",707,"ABH","318112796",NA,"PRESERVED_SPECIMEN",2000,4,27,"2000-04-27T00:00:00","WGS84",NA
"12","Geranium lucidum",-2.448088,51.290124,"","GBR",NA,"PRESENT",70.7,"BRERC","2958334797",NA,"HUMAN_OBSERVATION",2000,4,10,"2000-04-10T00:00:00","WGS84",NA
"13","Geranium lucidum",-2.445687,52.657634,"","GBR",NA,"PRESENT",70.7,"SEDN","3057594342",NA,"HUMAN_OBSERVATION",2000,4,19,"2000-04-19T00:00:00","WGS84",NA
"14","Geranium lucidum",-2.187073,51.285438,"","GBR",NA,"PRESENT",70.7,"BSBI","3106171865",NA,"HUMAN_OBSERVATION",2000,4,14,"2000-04-14T00:00:00","WGS84",NA
"15","Geranium lucidum",5.90226,51.834962,"cdround,cudc,colmafu,inmafu","NLD",NA,"PRESENT",500,"NMNL","230818253",NA,"PRESERVED_SPECIMEN",2000,5,10,"2000-05-10T00:00:00","WGS84",NA
"16","Geranium lucidum",14.138944,57.826971,"gass84","SWE",NA,"PRESENT",100,"ArtDatabanken","849488771",NA,"HUMAN_OBSERVATION",2000,5,13,"2000-05-13T00:00:00","WGS84",NA
"17","Geranium lucidum",14.248322,55.655729,"gass84","SWE",NA,"PRESENT",100,"Lunds Botaniska förening","1436375141",NA,"HUMAN_OBSERVATION",2000,5,14,"2000-05-14T00:00:00","WGS84",NA
"18","Geranium lucidum",7.1277,62.1262,"incomis,inmafu","NOR",NA,"PRESENT",71,"O","1702033362",NA,"PRESERVED_SPECIMEN",2000,5,27,"2000-05-27T00:00:00","WGS84",NA
"19","Geranium lucidum",10.4372,59.4451,"incomis,inmafu","NOR",NA,"PRESENT",707,"O","1702198882",NA,"PRESERVED_SPECIMEN",2000,5,5,"2000-05-05T00:00:00","WGS84",NA
"20","Geranium lucidum",9.6071,59.1261,"incomis,inmafu","NOR",NA,"PRESENT",71,"O","1702199191",NA,"PRESERVED_SPECIMEN",2000,5,18,"2000-05-18T00:00:00","WGS84",NA
"21","Geranium lucidum",-2.280168,42.640884,"gass84,osiic,colmano,inmafu","ESP",1,"PRESENT",500,"PAMP","1795863427",NA,"PRESERVED_SPECIMEN",2000,5,9,"2000-05-09T00:00:00","WGS84",NA
"22","Geranium lucidum",14.139761,57.82743,"gass84","SWE",NA,"PRESENT",50,"Föreningen Smålands flora","2246060248",NA,"HUMAN_OBSERVATION",2000,5,13,"2000-05-13T00:00:00","WGS84",NA
"23","Geranium lucidum",-2.417074,51.506938,"","GBR",NA,"PRESENT",70.7,"BRERC","2958596012",NA,"HUMAN_OBSERVATION",2000,5,10,"2000-05-10T00:00:00","WGS84",NA
"24","Geranium lucidum",-2.417024,51.501543,"","GBR",NA,"PRESENT",70.7,"BRERC","2959263303",NA,"HUMAN_OBSERVATION",2000,5,10,"2000-05-10T00:00:00","WGS84",NA
"25","Geranium lucidum",-0.136913,51.823354,"","GBR",NA,"PRESENT",707.1,"Hertfordshire Natural History Society Flora Group","2971320649",NA,"HUMAN_OBSERVATION",2000,5,14,"2000-05-14T00:00:00","WGS84",NA
"26","Geranium lucidum",11.453726,58.462973,"cdround,gass84","SWE",NA,"PRESENT",100,"ArtDatabanken","2994005741",NA,"HUMAN_OBSERVATION",2000,5,6,"2000-05-06T00:00:00","WGS84",NA
"27","Geranium lucidum",11.500978,58.260421,"gass84","SWE",NA,"PRESENT",100,"ArtDatabanken","2994315738",NA,"HUMAN_OBSERVATION",2000,5,2,"2000-05-02T00:00:00","WGS84",NA
"28","Geranium lucidum",12.032394,57.889459,"gass84","SWE",NA,"PRESENT",100,"Föreningen Bohusläns Flora","3049381886",NA,"HUMAN_OBSERVATION",2000,5,21,"2000-05-21T00:00:00","WGS84",NA
"29","Geranium lucidum",11.774344,58.322113,"cdround,gass84","SWE",NA,"PRESENT",100,"Föreningen Bohusläns Flora","3050192868",NA,"HUMAN_OBSERVATION",2000,5,25,"2000-05-25T00:00:00","WGS84",NA
"30","Geranium lucidum",11.535249,58.250609,"cdround,gass84","SWE",NA,"PRESENT",100,"Föreningen Bohusläns Flora","3050201922",NA,"HUMAN_OBSERVATION",2000,5,28,"2000-05-28T00:00:00","WGS84",NA
"31","Geranium lucidum",-1.877773,54.311384,"","GBR",NA,"PRESENT",70.7,"BSBI","3099318660",NA,"HUMAN_OBSERVATION",2000,5,24,"2000-05-24T00:00:00","WGS84",NA
"32","Geranium lucidum",-2.32236,54.16452,"","GBR",NA,"PRESENT",70.7,"BSBI","3101752153",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84",NA
"33","Geranium lucidum",-1.856023,54.157228,"","GBR",NA,"PRESENT",707.1,"BSBI","3103657129",NA,"HUMAN_OBSERVATION",2000,5,NA,"2000-05-01T00:00:00","WGS84",NA
"34","Geranium lucidum",-2.3532,51.352043,"","GBR",NA,"PRESENT",707.1,"BRERC","3116354536",NA,"HUMAN_OBSERVATION",2000,5,7,"2000-05-07T00:00:00","WGS84",NA
"35","Geranium lucidum",7.163759,62.122768,"cdround,gass84","NOR",NA,"PRESENT",75,"nbf","1882917261",NA,"HUMAN_OBSERVATION",2000,6,21,"2000-06-21T00:00:00","WGS84",NA
"36","Geranium lucidum",7.06675,62.101444,"cdround,gass84","NOR",NA,"PRESENT",25,"nbf","2402212152",NA,"HUMAN_OBSERVATION",2000,6,22,"2000-06-22T00:00:00","WGS84",NA
"37","Geranium lucidum",7.126964,62.126993,"cdround,gass84","NOR",NA,"PRESENT",25,"nbf","2402342235",NA,"HUMAN_OBSERVATION",2000,6,21,"2000-06-21T00:00:00","WGS84",NA
"38","Geranium lucidum",7.111693,62.124343,"cdround,gass84","NOR",NA,"PRESENT",25,"nbf","2405407053",NA,"HUMAN_OBSERVATION",2000,6,21,"2000-06-21T00:00:00","WGS84",NA
"39","Geranium lucidum",7.008207,62.17391,"cdround,gass84","NOR",NA,"PRESENT",50,"nbf","2410169909",NA,"HUMAN_OBSERVATION",2000,6,23,"2000-06-23T00:00:00","WGS84",NA
"40","Geranium lucidum",15.61466,58.369746,"cdround,gass84","SWE",NA,"PRESENT",71,"Östergötlands flora","2542413920",NA,"HUMAN_OBSERVATION",2000,6,1,"2000-06-01T00:00:00","WGS84",NA
"41","Geranium lucidum",-2.483722,51.541749,"","GBR",NA,"PRESENT",70.7,"BRERC","2960011547",NA,"HUMAN_OBSERVATION",2000,6,12,"2000-06-12T00:00:00","WGS84",NA
"42","Geranium lucidum",11.274054,58.612273,"gass84","SWE",NA,"PRESENT",100,"Föreningen Bohusläns Flora","3000631338",NA,"HUMAN_OBSERVATION",2000,6,17,"2000-06-17T00:00:00","WGS84",NA
"43","Geranium lucidum",-0.50488,52.21299,"","GBR",NA,"PRESENT",70.7,"BSBI","3099406817",NA,"HUMAN_OBSERVATION",2000,6,26,"2000-06-26T00:00:00","WGS84",NA
"44","Geranium lucidum",-1.851415,54.375163,"cdround","GBR",NA,"PRESENT",705,"BSBI","3100376587",NA,"HUMAN_OBSERVATION",2000,6,6,"2000-06-06T00:00:00","WGS84",NA
"45","Geranium lucidum",-0.503387,52.21387,"","GBR",NA,"PRESENT",70.7,"BSBI","3100534866",NA,"HUMAN_OBSERVATION",2000,6,26,"2000-06-26T00:00:00","WGS84",NA
