field_1,fid,SciName,Longitude,Latitude,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa,datasetNam,layer,path,NVG,URB,FOR,GRS,CULTIR,CULTRF,CULT,WATER
1,4453,Geranium lucidum,14.127472,57.802127,"cdround,gass84",SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246059075,NA,HUMAN_OBSERVATION,1970,12,31,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,42.73450089,13.20368576,8.468633652,2.66319108,26.5931797,23.92998886,9
2,4454,Geranium lucidum,14.123196,57.821824,"cdround,gass84",SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246059746,NA,HUMAN_OBSERVATION,1970,12,31,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,42.73450089,13.20368576,8.468633652,2.66319108,26.5931797,23.92998886,9
3,4455,Geranium lucidum,-4.025799,51.829646,fpwktinv,GBR,NA,PRESENT,707.1,West Wales Biodiversity Information Centre,2909307169,NA,HUMAN_OBSERVATION,1970,NA,NA,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,7.121299744,3.868749619,56.22170258,0,32.78824616,32.78824616,0
4,4456,Geranium lucidum,-3.864859,56.151143,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2946367633,NA,HUMAN_OBSERVATION,1970,NA,NA,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,14.24020004,6.49326849,45.90086365,0,31.36566925,31.36566925,2
5,4457,Geranium lucidum,-2.778744,51.592312,fpwktinv,GBR,NA,PRESENT,70.7,SEWBReC,2999744826,NA,HUMAN_OBSERVATION,1970,NA,NA,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,10.40270042,12.44190884,57.56531525,0.173850894,19.59007454,19.41622353,0
6,4450,Geranium lucidum,-1.964762,51.362012,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3101715974,NA,HUMAN_OBSERVATION,1970,4,25,1970-04-25,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,8.436699867,3.764419317,34.79364395,0.121621199,53.00523758,52.8836174,0
7,4451,Geranium lucidum,-3.624241,54.980889,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2955431537,NA,HUMAN_OBSERVATION,1970,5,15,1970-05-15,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.474299997,44.65447235,38.28245544,0,12.58877277,12.58877277,4
8,4452,Geranium lucidum,14.668123,58.322363,gass84,SWE,NA,PRESENT,250,<U+FFFD>sterg<U+FFFD>tlands flora,2542175572,NA,HUMAN_OBSERVATION,1970,6,21,1970-06-21,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.928399921,23.67621231,12.58972359,0.626592875,62.80566406,62.17906952,0
9,4445,Geranium lucidum,11.888861,58.978545,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428896598,NA,HUMAN_OBSERVATION,1971,12,31,1971-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,1.391500115,60.36951447,13.68025017,0,6.558734894,6.558734894,18
10,4446,Geranium lucidum,-3.390094,55.596231,fpwktinv,GBR,NA,PRESENT,707.1,BSBI,2940758487,NA,HUMAN_OBSERVATION,1971,NA,NA,1971-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0.404500008,11.74105167,72.58714294,0,15.26730251,15.26730251,0
