field_1,fid,SciName,Longitude,Latitude,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa,datasetNam,layer,path,nutrientavailability,nutrientretention,rootingcapability,oxygenavailability,excesssalts,toxicity,workability
1,4453,Geranium lucidum,14.127472,57.802127,"cdround,gass84",SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246059075,NA,HUMAN_OBSERVATION,1970,12,31,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,2,2,1,1,1,2
2,4454,Geranium lucidum,14.123196,57.821824,"cdround,gass84",SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246059746,NA,HUMAN_OBSERVATION,1970,12,31,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,2,2,1,1,1,2
3,4455,Geranium lucidum,-4.025799,51.829646,fpwktinv,GBR,NA,PRESENT,707.1,West Wales Biodiversity Information Centre,2909307169,NA,HUMAN_OBSERVATION,1970,NA,NA,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,2,1,1,1
4,4456,Geranium lucidum,-3.864859,56.151143,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2946367633,NA,HUMAN_OBSERVATION,1970,NA,NA,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,1,1,1,1,1
5,4457,Geranium lucidum,-2.778744,51.592312,fpwktinv,GBR,NA,PRESENT,70.7,SEWBReC,2999744826,NA,HUMAN_OBSERVATION,1970,NA,NA,1970-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,3,1,1,1,2
6,4450,Geranium lucidum,-1.964762,51.362012,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3101715974,NA,HUMAN_OBSERVATION,1970,4,25,1970-04-25,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,3,1,1,1,2
7,4451,Geranium lucidum,-3.624241,54.980889,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2955431537,NA,HUMAN_OBSERVATION,1970,5,15,1970-05-15,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,1,1,2,1,1,1
8,4452,Geranium lucidum,14.668123,58.322363,gass84,SWE,NA,PRESENT,250,<U+FFFD>sterg<U+FFFD>tlands flora,2542175572,NA,HUMAN_OBSERVATION,1970,6,21,1970-06-21,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,1,1,1,1
9,4445,Geranium lucidum,11.888861,58.978545,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428896598,NA,HUMAN_OBSERVATION,1971,12,31,1971-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
10,4446,Geranium lucidum,-3.390094,55.596231,fpwktinv,GBR,NA,PRESENT,707.1,BSBI,2940758487,NA,HUMAN_OBSERVATION,1971,NA,NA,1971-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,3,1,1,1,1,1
11,4447,Geranium lucidum,-3.156347,56.626117,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2946812668,NA,HUMAN_OBSERVATION,1971,NA,NA,1971-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,1,1,1,1,1
12,4448,Geranium lucidum,-3.010963,56.675,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2948690554,NA,HUMAN_OBSERVATION,1971,NA,NA,1971-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,1,1,1,1,1
13,4449,Geranium lucidum,-2.91047,56.703626,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2952454763,NA,HUMAN_OBSERVATION,1971,NA,NA,1971-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,1,1,1,1,1
