"","field_1","species","decimallon","decimallat","issues","countryCod","occurrence","coordinate","institutio","gbifID","references","basisOfRec","year","month","day","eventDate","geodeticDa"
"1",2479716,"Eichhornia crassipes",-85.50495,32.67152,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1970,5,17,"05-17-70","WGS84"
"2",2470473,"Eichhornia crassipes",-120.89686,37.29438,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1970,8,17,"08-17-70","WGS84"
"3",3806293,"Eichhornia crassipes",-96.43,19.76,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1970,11,21,"11-21-70","WGS84"
"4",2463265,"Eichhornia crassipes",-81.27273,28.80483,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1971,1,1,"01-01-71","WGS84"
"5",2463266,"Eichhornia crassipes",-80.65737,28.13346,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1971,1,1,"01-01-71","WGS84"
"6",3707010,"Eichhornia crassipes",-96.49,19.32,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1971,8,5,"08-05-71","WGS84"
"7",3770586,"Eichhornia crassipes",-99.1,19.26,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1971,10,17,"10-17-71","WGS84"
"8",2469045,"Eichhornia crassipes",-95.69438,29.57919,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1971,11,6,"11-06-71","WGS84"
"9",2463271,"Eichhornia crassipes",-81.83802,29.5182,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1972,1,1,"01-01-72","WGS84"
"10",2464497,"Eichhornia crassipes",-120.83464,37.37522,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1972,1,1,"01-01-72","WGS84"
"11",3770636,"Eichhornia crassipes",-93.3,16.35,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1972,4,17,"04-17-72","WGS84"
"12",2469048,"Eichhornia crassipes",-94.84679,30.162,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1972,9,16,"09-16-72","WGS84"
"13",2463522,"Eichhornia crassipes",-81.68198,28.86557,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1972,9,20,"09-20-72","WGS84"
"14",1986,"Eichhornia crassipes",-90.77437,30.249178,"colmano,inmafu","USA","PRESENT",461,"NCU",2234268798,"https://sernecportal.org/portal/collections/individual/index.php?occid=10236526","PRESERVED_SPECIMEN",1972,4,21,"1972-04-21","WGS84"
"15",1987,"Eichhornia crassipes",150.2833,-28.1667,"colmafu,inmafu","AUS","PRESENT",1000,"CANB",2830226126,"https://biocache.ala.org.au/occurrences/66f5822c-5681-406d-846f-717fe0dbb0ae","PRESERVED_SPECIMEN",1972,12,4,"1972-12-04","WGS84"
"16",3628044,"Eichhornia crassipes",-94.1,17.95,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1973,4,14,"04-14-73","WGS84"
"17",3735603,"Eichhornia crassipes",-103.18,20.28,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1973,4,15,"04-15-73","WGS84"
"18",3877667,"Eichhornia crassipes",-97.98,22.38,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1973,4,21,"04-21-73","WGS84"
"19",3735583,"Eichhornia crassipes",-102.54,20.28,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1973,5,1,"05-01-73","WGS84"
"20",2463362,"Eichhornia crassipes",-89.82372,31.2409,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1974,1,1,"01-01-74","WGS84"
"21",2463982,"Eichhornia crassipes",-90.30537,32.29433,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1974,1,1,"01-01-74","WGS84"
"22",2464103,"Eichhornia crassipes",-89.27621,31.26302,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1974,1,1,"01-01-74","WGS84"
"23",3806238,"Eichhornia crassipes",-95.6,18.66,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1974,9,16,"09-16-74","WGS84"
"24",2464692,"Eichhornia crassipes",-157.75886,21.39362,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1975,1,1,"01-01-75","WGS84"
"25",2466832,"Eichhornia crassipes",-80.67947,28.38717,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1975,1,1,"01-01-75","WGS84"
"26",2467376,"Eichhornia crassipes",-121.54411,38.00048,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1975,9,1,"09-01-75","WGS84"
"27",2466567,"Eichhornia crassipes",-92.01005,31.5861,NA,NA,"PRESENT",NA,"EDDMaps",NA,NA,NA,1975,9,21,"09-24-75","WGS84"
