"","species","decimallongitude","decimallatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateuncertaintyinmeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName","scientificName"
"1","Eichhornia crassipes",151.484188,-33.257067,"cdround","AUS",NA,"PRESENT",1000,"NSW Dept of Planning, Industry and Environment","1069727462","https://biocache.ala.org.au/occurrences/58786d88-be29-4ae2-ae0c-307d68d932c0","HUMAN_OBSERVATION",2000,3,29,"2000-03-29T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"2","Eichhornia crassipes",-104.911323,38.666237,"cdround,ambinst,incomis","USA",NA,"PRESENT",1000,"COLO","2573429727","https://botanydb.colorado.edu:443/collections/individual/index.php?occid=23145","PRESERVED_SPECIMEN",2000,8,31,"2000-08-31T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"3","Eichhornia crassipes",12.550177,55.797878,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342409036",NA,"PRESERVED_SPECIMEN",2000,10,22,"2000-10-22T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"4","Eichhornia crassipes",151.647095,-32.8179,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1073157807","https://biocache.ala.org.au/occurrences/44c51ca5-7406-43e1-9869-cd5f55b4ade3","HUMAN_OBSERVATION",1999,3,30,"1999-03-30T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"5","Eichhornia crassipes",151.760551,-32.730501,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1073160737","https://biocache.ala.org.au/occurrences/0a51f86e-c43f-436d-98a1-055f52dd0b66","HUMAN_OBSERVATION",1999,4,8,"1999-04-08T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"6","Eichhornia crassipes",151.75102,-32.719131,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1073161468","https://biocache.ala.org.au/occurrences/a974a516-9d7d-4534-bcdf-b8baad607731","HUMAN_OBSERVATION",1999,4,8,"1999-04-08T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"7","Eichhornia crassipes",152.891636,-29.684245,"cdround,inmano","AUS",NA,"PRESENT",50,"NSW Dept of Planning, Industry and Environment","1451573358","https://biocache.ala.org.au/occurrences/41168a4f-a0d0-499b-9824-1d6befc0b190","PRESERVED_SPECIMEN",1998,2,5,"1998-02-05T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"8","Eichhornia crassipes",152.890556,-29.685833,"cdround,colmafu,inmafu","AUS",NA,"PRESENT",50,"NSW","2828730759","https://biocache.ala.org.au/occurrences/18abeda3-5dfa-4ba4-bee8-3a080a54e0b9","PRESERVED_SPECIMEN",1998,2,5,"1998-02-05T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"9","Eichhornia crassipes",151.444742,-33.299834,"cdround","AUS",NA,"PRESENT",100,"NSW Dept of Planning, Industry and Environment","1074886821","https://biocache.ala.org.au/occurrences/1fa0f62c-fbb3-4163-a64c-9613fb9a614d","HUMAN_OBSERVATION",1998,3,7,"1998-03-07T00:00:00","WGS84",NA,"Eichhornia crassipes (Mart.) Solms"
"10","Eichhornia crassipes",-95.216239,38.929383,"ambcol","USA",NA,"PRESENT",143,"KU","2857034306",NA,"PRESERVED_SPECIMEN",1998,9,9,"1998-09-09T00:00:00","WGS84","R. L. McGregor Herbarium Vascular Plants Collection","Eichhornia crassipes (Mart.) Solms"
