"","species","decimallongitude","decimallatitude","issues","countryCode","individualCount","occurrenceStatus","coordinateuncertaintyinmeters","institutionCode","gbifID","references","basisOfRecord","year","month","day","eventDate","geodeticDatum","datasetName"
"1","Pilosella officinarum",175.9384,-39.2108,"gass84","NZL",NA,"PRESENT",50,"Landcare Research","1312367514",NA,"HUMAN_OBSERVATION",2000,2,NA,"2000-02-01T00:00:00","WGS84","NVS PUBLIC OCCURRENCE DATA"
"2","Pilosella officinarum",175.9346,-39.2587,"gass84","NZL",NA,"PRESENT",50,"Landcare Research","1312367678",NA,"HUMAN_OBSERVATION",2000,2,NA,"2000-02-01T00:00:00","WGS84","NVS PUBLIC OCCURRENCE DATA"
"3","Pilosella officinarum",4.44756,51.12509,"refuriiv","BEL",NA,"PRESENT",700,"INBO","869821951",NA,"HUMAN_OBSERVATION",2000,3,1,"2000-03-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"4","Pilosella officinarum",4.31901,51.11612,"refuriiv","BEL",NA,"PRESENT",700,"INBO","869823244",NA,"HUMAN_OBSERVATION",2000,4,1,"2000-04-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"5","Pilosella officinarum",8.336808,56.727886,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342556285",NA,"HUMAN_OBSERVATION",2000,4,30,"2000-04-30T00:00:00","WGS84",NA
"6","Pilosella officinarum",8.858302,57.115863,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342556566",NA,"HUMAN_OBSERVATION",2000,4,25,"2000-04-25T00:00:00","WGS84",NA
"7","Pilosella officinarum",8.874876,57.097914,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342556574",NA,"HUMAN_OBSERVATION",2000,4,10,"2000-04-10T00:00:00","WGS84",NA
"8","Pilosella officinarum",9.169032,56.451031,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342556751",NA,"HUMAN_OBSERVATION",2000,4,27,"2000-04-27T00:00:00","WGS84",NA
"9","Pilosella officinarum",10.057473,56.311869,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342557262",NA,"HUMAN_OBSERVATION",2000,4,20,"2000-04-20T00:00:00","WGS84",NA
"10","Pilosella officinarum",11.665601,55.487703,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342557813",NA,"HUMAN_OBSERVATION",2000,4,30,"2000-04-30T00:00:00","WGS84",NA
"11","Pilosella officinarum",11.58471,58.677694,"cdround,gass84","SWE",NA,"PRESENT",100,"Föreningen Bohusläns Flora","3000547700",NA,"HUMAN_OBSERVATION",2000,4,26,"2000-04-26T00:00:00","WGS84",NA
"12","Pilosella officinarum",11.336056,58.780765,"cdround,gass84","SWE",NA,"PRESENT",100,"Föreningen Bohusläns Flora","3000830377",NA,"HUMAN_OBSERVATION",2000,4,28,"2000-04-28T00:00:00","WGS84",NA
"13","Pilosella officinarum",11.517696,58.247683,"gass84","SWE",NA,"PRESENT",100,"Föreningen Bohusläns Flora","3049409854",NA,"HUMAN_OBSERVATION",2000,4,20,"2000-04-20T00:00:00","WGS84",NA
"14","Pilosella officinarum",11.404849,58.733782,"cdround,gass84","SWE",NA,"PRESENT",100,"Föreningen Bohusläns Flora","3049865001",NA,"HUMAN_OBSERVATION",2000,4,30,"2000-04-30T00:00:00","WGS84",NA
"15","Pilosella officinarum",5.172688,51.668714,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","55874247",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84",NA
"16","Pilosella officinarum",6.383627,52.539254,"cdround,cudc,colmano,inmano","NLD",NA,"PRESENT",10,"STOWA","699651362",NA,"HUMAN_OBSERVATION",2000,5,15,"2000-05-15T00:00:00","WGS84",NA
"17","Pilosella officinarum",14.086958,57.69202,"cdround,gass84","SWE",NA,"PRESENT",10,"ArtDatabanken","849494684",NA,"HUMAN_OBSERVATION",2000,5,20,"2000-05-20T00:00:00","WGS84",NA
"18","Pilosella officinarum",14.079781,57.691295,"cdround,gass84","SWE",NA,"PRESENT",10,"ArtDatabanken","849494805",NA,"HUMAN_OBSERVATION",2000,5,21,"2000-05-21T00:00:00","WGS84",NA
"19","Pilosella officinarum",14.092456,57.68913,"cdround,gass84","SWE",NA,"PRESENT",10,"ArtDatabanken","849494851",NA,"HUMAN_OBSERVATION",2000,5,20,"2000-05-20T00:00:00","WGS84",NA
"20","Pilosella officinarum",14.083113,57.688107,"gass84","SWE",NA,"PRESENT",10,"ArtDatabanken","849494874",NA,"HUMAN_OBSERVATION",2000,5,21,"2000-05-21T00:00:00","WGS84",NA
"21","Pilosella officinarum",14.090569,57.686503,"gass84","SWE",NA,"PRESENT",10,"ArtDatabanken","849495128",NA,"HUMAN_OBSERVATION",2000,5,21,"2000-05-21T00:00:00","WGS84",NA
"22","Pilosella officinarum",3.73811,50.77286,"refuriiv","BEL",NA,"PRESENT",700,"INBO","869821191",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"23","Pilosella officinarum",3.27465,51.19198,"refuriiv","BEL",NA,"PRESENT",1000,"INBO","869823558",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"24","Pilosella officinarum",2.84591,51.17826,"refuriiv","BEL",NA,"PRESENT",1000,"INBO","869823830",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"25","Pilosella officinarum",4.63161,50.83716,"refuriiv","BEL",NA,"PRESENT",700,"INBO","869824549",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"26","Pilosella officinarum",4.78809,50.87267,"refuriiv","BEL",NA,"PRESENT",700,"INBO","869824588",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"27","Pilosella officinarum",4.63171,50.85514,"refuriiv","BEL",NA,"PRESENT",700,"INBO","869824623",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"28","Pilosella officinarum",5.38768,51.00384,"refuriiv","BEL",NA,"PRESENT",700,"INBO","869824668",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"29","Pilosella officinarum",5.41034,50.74293,"refuriiv","BEL",NA,"PRESENT",700,"INBO","869825029",NA,"HUMAN_OBSERVATION",2000,5,1,"2000-05-01T00:00:00","WGS84","FLORABANK 1: a grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region)"
"30","Pilosella officinarum",9.26667,42.33333,"gass84,colmano,inmafu","FRA",NA,"PRESENT",850,"G","1144737614",NA,"PRESERVED_SPECIMEN",2000,5,29,"2000-05-29T00:00:00","WGS84",NA
"31","Pilosella officinarum",9.104139,56.451102,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342556709",NA,"HUMAN_OBSERVATION",2000,5,15,"2000-05-15T00:00:00","WGS84",NA
"32","Pilosella officinarum",9.369925,57.088448,"cdround,colmano,inmano","DNK",NA,"PRESENT",1000,"DBF-NHMD","1342556866",NA,"HUMAN_OBSERVATION",2000,5,21,"2000-05-21T00:00:00","WGS84",NA
